Shiomibashi,Sakuragawa
Shiomibashi,Kishinosato-Tamade
Kishinosato-Tamade,Tengachaya
Tengachaya,Shin-Imamiya
Kishinosato-Tamade,Sumiyoshitaisha
Sumiyoshitaisha,Sumiyoshitorii-mae
Sumiyoshitaisha,Sakai
Sakai,Hamaderakoen
Hamaderakoen,Hamaderaekimae
Hamaderakoen,Hagoromo
Hagoromo,Takashinohama
Hagoromo,Izumiotsu
Izumiotsu,Haruki
Haruki,Kishiwada
Kishiwada,Kaizuka
Kaizuka,Izumisano
Izumisano,Rinku-town
Rinku-town,Kansai-airport
Izumisano,Ozaki
Ozaki,Misakikoen
Misakikoen,Tanagawa
Misakikoen,Wakayama daigakumae
Wakayama daigakumae,Kinokawa
Kinokawa,Kada
Kinokawa,Wakayamashi
Wakayamashi,Wakayamako
Kishinosato-Tamade,Sumiyoshihigashi
Sumiyoshihigashi,Sakaihigashi
Sakaihigashi,Mikunigaoka
Mikunigaoka,Nakamozu
Nakamozu,Izumi-chuo
Nakamozu,Kitanoda
Kitanoda,Kongo
Kongo,Kawachi-Nagano
Kawachi-Nagano,Hashimoto
Hashimoto,Gokurakubashi
Gokurakubashi,Koyasan
