Senri-chuo,Esaka
Esaka,Shin-Osaka
Shin-Osaka,Nishinakajima-Minamigata
Nishinakajima-Minamigata,Umeda
Umeda,Nishi-Umeda
Umeda,Higashi-Umeda
Higashi-Umeda,Tenjimbashisuji 6-chrome
Tenjimbashisuji 6-chrome,Taishibashi-Imaichi
Taishibashi-Imaichi,Danichi
Taishibashi-Imaichi,Itakano
Taishibashi-Imaichi,Sekime-Seiiku
Sekime-Seiiku,Shigino
Shigino,Kadoma-minami
Shigino,Kyobashi
Kyobashi,Morinomiya
Morinomiya,Takaida-Nagata
Morinomiya,Tsuruhashi
Morinomiya,Tamatsukuri
Tsuruhashi,Minami-Tatsumi
Tsuruhashi,Osaka-Uehommachi
Tenjimbashisuji 6-chrome,Tenma
Tenma,Minamimorimachi
Higashi-Umeda,Minamimorimachi
Minamimorimachi,Kitahama
Minamimorimachi,Temmabashi
Temmabashi,Morinomiya
Temmabashi,Tanimachi 9-chrome
Tanimachi 9-chrome,Tamatsukuri
Umeda,Yodayabashi
Kitahama,Nippombashi
Yodayabashi,Hommachi
Hommachi,Higobashi
Higobashi,Nishi-Umeda
Hommachi,Shinsaibashi
Shinsaibashi,Nippombashi
Shinsaibashi,Namba
Namba,Kintetsu-Nippombashi
Shinsaibashi,Dome-mae Chiyozaki
Dome-mae Chiyozaki,Taisho
Tanimachi 9-chrome,Osaka-Uehommachi
Tanimachi 9-chrome,Nippombashi
Kintetsu-Nippombashi,Nippombashi
Kintetsu-Nippombashi,Osaka-Uehommachi
Kintetsu-Nippombashi,Shin-Imamiya
Osaka-Uehommachi,Tennoji
Shin-Imamiya,Tennoji
Shin-Imamiya,Tengachaya
Shin-Imamiya,Namba
Hommachi,Kujo
Kujo,Bentencho
Hommachi,Noda
Namba,Sakuragawa
Tennoji,Abeno
Tennoji,Nagai
Abeno,Nagai
Nagai,Nakamozu
Yao-minami,Abeno
Bentencho,Osakako
Osakako,Cosmosquare
Cosmosquare,Suminoekoen
Namba,Suminoekoen
