Name,lat,lng
Shiomibashi,34.6682493,135.4861949
Kishinosato-Tamade,34.6295187,135.4951059
Sumiyoshitaisha,34.6127684,135.4903549
Sakai,34.5816609,135.4690493
Hamaderakoen,34.5411768,135.444625
Hagoromo,34.5342014,135.4417628
Izumiotsu,34.5043551,135.4105306
Haruki,34.4771322,135.3915459
Kishiwada,34.4607027,135.3706923
Izumisano,34.4068926,135.3273027
Ozaki,34.3615441,135.2406965
Misakikoen,34.32450499999999,135.1612044
Tanagawa,35.589497,139.6687779
Wakayama daigakumae,34.2762653,135.1470961
Kinokawa,34.2698471,135.3626864
Wakayamako,34.2303678,135.1707405
Sumiyoshihigashi,34.612934,135.4974327
Sakaihigashi,34.5753781,135.4847961
Izumi-chuo,34.4613805,135.45621
Kongo,34.495268,135.5594221
Gokurakubashi,34.2339696,135.5822388
Takashinohama,34.52743300197845,135.43193119688308
Kitanoda,34.52315036740605,135.54303367618732
Koyasan,34.22735206376856,135.57752214979905
Kada,34.275462279289236,135.08079787165516

Sakuragawa,34.6684262,135.488266
Sumiyoshitorii-mae,34.6126411,135.4912307
Hamaderaekimae,34.541302,135.4431877
Kaizuka,34.4454668,135.3575322
Nakamozu,34.5562654,135.5043951
Hashimoto,34.3183652068584,135.615028646245
Kawachi-Nagano,34.4510813,135.5730913
Mikunigaoka,34.5655646586371,135.492781269971
Tengachaya,34.6367872,135.4965839
Shin-Imamiya,34.6497931,135.5015478
Rinku-town,34.4108930976788,135.299653711911
Kansai-airport,34.4360042062677,135.243394623552
Wakayamashi,34.236724758998,135.166908173228
