Name,lat,lng
Senri-chuo,34.8074603,135.4952222
Esaka,34.758768,135.4970962
Shin-Osaka,34.7334658,135.5002547
Nishinakajima-Minamigata,34.726407,135.4985862
Umeda,34.7050271,135.4984269
Nishi-Umeda,34.699882,135.49556
Higashi-Umeda,34.7008199,135.499487
Tenjimbashisuji 6-chrome,34.7107613,135.5108197
Taishibashi-Imaichi,34.7311527,135.5545727
Danichi,34.74895619999999,135.5788473
Itakano,34.7601537,135.5473531
Sekime-Seiiku,34.7126865,135.5469429
Shigino,34.692773,135.545139
Kadoma-minami,34.7167926,135.592573
Kyobashi,34.6966897,135.5339121
Morinomiya,34.6817307,135.5333561
Takaida-Nagata,34.6784975,135.5726369
Tamatsukuri,34.6734694,135.532835
Tsuruhashi,34.6652458,135.530318
Osaka-Uehommachi,34.6655536,135.5207379
Minami-Tatsumi,34.6431864,135.5532536
Tenma,34.7048863,135.5122191
Minamimorimachi,34.697549,135.510864
Kitahama,34.6916963,135.5066515
Yodayabashi,34.6922614,135.501053
Temmabashi,34.6889916,135.517356
Tanimachi 9-chrome,34.6665236,135.5152679
Nippombashi,34.6669677,135.5061197
Hommachi,34.6820067,135.4988295
Shinsaibashi,34.6747701,135.5003959
Higobashi,34.6910718,135.4964186
Nishi-Umeda,34.699882,135.49556
Kintetsu-Nippombashi,34.6671526,135.5061054
Namba,34.6670979,135.5003424
Dome-mae Chiyozaki,34.6704407,135.4783954
Sakuragawa,34.6684262,135.488266
Taisho,34.6657822,135.4792475
Kujo,34.675207,135.4733981
Bentencho,34.6691788,135.4625765
Shin-Imamiya,34.6497931,135.5015478
Tennoji,34.6473102,135.513869
Tengachaya,34.6367872,135.4965839
Abeno,34.642719,135.5120601
Nagai,34.610846,135.5125617
Nakamozu,34.5562654,135.5043951
Yao-minami,34.5973903,135.5825461
Osakako,34.653927,135.4344189
Cosmosquare,34.6427224,135.412543
Suminoekoen,34.6091445,135.4729536
Noda,34.69449967982009, 135.47631375094002
